id,created_at,username,full_text,retweets,likes,lang,text_clean
1.85111E+18,Tue Oct 29 04:04:56 +0000 2024,Stanzaoth,@PT_Transjakarta Baik. Jadi tenang deh. Trims banyak ya.,0,0,in,@PT_Transjakarta Baik. Jadi tenang deh. Trims banyak ya.
1.85111E+18,Tue Oct 29 04:03:21 +0000 2024,PT_Transjakarta,"@Stanzaoth Hai kak. Silakan tap kembali di perjalanan selanjutnya, kartu akan ter reset otomatis ya kak. Terima kasih ^DN",0,0,in,@Stanzaoth Hai kak. Silakan tap kembali di perjalanan selanjutnya kartu akan ter reset otomatis ya kak. Terima kasih ^DN
1.85111E+18,Tue Oct 29 03:59:29 +0000 2024,PT_Transjakarta,@GopelCah Hai kak. Silakan menuju Halte Jembatan Merah lalu transit naik koridor 12 turun di Halte Tanjung Priok dilanjutkan naik mikrotrans JAK 15 turun di Bus stop Simpang Akses Pitungan. Yuk unduh aplikasi versi terbarunya aplikasi TJ: Transjakarta ya kak. Terima kasih ^RJ,0,0,in,@GopelCah Hai kak. Silakan menuju Halte Jembatan Merah lalu transit naik koridor 12 turun di Halte Tanjung Priok dilanjutkan naik mikrotrans JAK 15 turun di Bus stop Simpang Akses Pitungan. Yuk unduh aplikasi versi terbarunya aplikasi TJ: Transjakarta ya kak. Terima kasih ^RJ
1.85111E+18,Tue Oct 29 03:56:13 +0000 2024,parpelv,"@PT_Transjakarta kalau dari stasiun depok baru ke tole iskandar depok, rutenya masih gratis kah min? Need fast resp🙏",0,0,in,@PT_Transjakarta kalau dari stasiun depok baru ke tole iskandar depok rutenya masih gratis kah min? Need fast resp🙏
1.85111E+18,Tue Oct 29 03:55:05 +0000 2024,parpelv,"@PT_Transjakarta kalau dari stasiun depok baru ke tole iskandar depok, rutenya masih gratis kah min?",0,0,in,@PT_Transjakarta kalau dari stasiun depok baru ke tole iskandar depok rutenya masih gratis kah min?
1.85111E+18,Tue Oct 29 03:50:42 +0000 2024,PT_Transjakarta,@vivrexavie Hai kak. Silakan menuju Halte Tosari naik koridor 1 menuju Halte Senayan Bank DKI dilanjutkan naik rute 3F. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^RJ,0,0,in,@vivrexavie Hai kak. Silakan menuju Halte Tosari naik koridor 1 menuju Halte Senayan Bank DKI dilanjutkan naik rute 3F. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^RJ
1.85111E+18,Tue Oct 29 03:47:58 +0000 2024,PT_Transjakarta,"@TahuBulat428149 Hai kak. Mohon maaf atas kejadian yang dialami. Mohon info lokasi kejadian, waktu kejadian dan arah perjalanan.  Terkait laporan tersebut kami lakukan pengecekan dan edukasi kembali terhadap pramudi yang melakukan pelanggaran tersebut agar hal serupa tidak terjadi lagi. Tks ^RJ",0,0,in,@TahuBulat428149 Hai kak. Mohon maaf atas kejadian yang dialami. Mohon info lokasi kejadian waktu kejadian dan arah perjalanan.  Terkait laporan tersebut kami lakukan pengecekan dan edukasi kembali terhadap pramudi yang melakukan pelanggaran tersebut agar hal serupa tidak terjadi lagi. Tks ^RJ
1.85111E+18,Tue Oct 29 03:47:42 +0000 2024,PT_Transjakarta,@diananard Silakan naik mikrotrans JAK 33 turun bus stop Mangga Dua berpindah ke halte Mangga Dua transit koridor 12 turun Kali Besar kemudian transit naik koridor 1 turun Kejaksaan Agung berpinda ke CSW. Untuk informasi rute selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta^RZK,0,0,in,@diananard Silakan naik mikrotrans JAK 33 turun bus stop Mangga Dua berpindah ke halte Mangga Dua transit koridor 12 turun Kali Besar kemudian transit naik koridor 1 turun Kejaksaan Agung berpinda ke CSW. Untuk informasi rute selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta^RZK
1.8511E+18,Tue Oct 29 03:32:05 +0000 2024,PT_Transjakarta,@girlshvfun Hai kak. Untuk layanan Transjakarta belum tersedia pada perjalanan tersebut. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^RJ,0,0,in,@girlshvfun Hai kak. Untuk layanan Transjakarta belum tersedia pada perjalanan tersebut. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^RJ
1.8511E+18,Tue Oct 29 03:24:36 +0000 2024,mrtjakarta,"Hai, Kak @secretsczu. Maaf ya, Kak, atas ketidaknyamanan yang dialami. Terkait tarif integrasi, untuk mendapatkannya dipastikan Kakak menggunakan minimal dua moda transportasi (MRT Jakarta, Transjakarta, dan LRT Jakarta) dengan batas waktu perjalanan adalah 180 menit. Informasi lebih lanjut mengenai tarif integrasi, Kakak dapat menghubungi layanan pelanggan JakLingko agar dapat dibantu pengecekan, ya.🙏 -NH",0,0,in,Hai Kak @secretsczu. Maaf ya Kak atas ketidaknyamanan yang dialami. Terkait tarif integrasi untuk mendapatkannya dipastikan Kakak menggunakan minimal dua moda transportasi (MRT Jakarta Transjakarta dan LRT Jakarta) dengan batas waktu perjalanan adalah 180 menit. Informasi lebih lanjut mengenai tarif integrasi Kakak dapat menghubungi layanan pelanggan JakLingko agar dapat dibantu pengecekan ya.🙏 -NH
